"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"San Bernardino County, CA","06071","Large Fringe Metro","2","2021","2021",15,2194710,0.7,0.4,1.1
,"San Bernardino County, CA","06071","Large Fringe Metro","2","2022","2022",12,Not Available,Not Available,Not Available,Not Available
,"San Bernardino County, CA","06071","Large Fringe Metro","2","2023","2023",18,Not Available,Not Available,Not Available,Not Available
,"San Bernardino County, CA","06071","Large Fringe Metro","2","2024 ","2024",22,Not Available,Not Available,Not Available,Not Available
,"San Diego County, CA","06073","Large Central Metro","1","2018","2018",103,3343364,3.1,2.5,3.7
,"San Diego County, CA","06073","Large Central Metro","1","2019","2019",82,3338330,2.5,2.0,3.0
,"San Diego County, CA","06073","Large Central Metro","1","2020","2020",89,3332427,2.7,2.1,3.3
,"San Diego County, CA","06073","Large Central Metro","1","2021","2021",78,3286069,2.4,1.9,3.0
,"San Diego County, CA","06073","Large Central Metro","1","2022","2022",67,Not Available,Not Available,Not Available,Not Available
,"San Diego County, CA","06073","Large Central Metro","1","2023","2023",68,Not Available,Not Available,Not Available,Not Available
,"San Diego County, CA","06073","Large Central Metro","1","2024 ","2024",47,Not Available,Not Available,Not Available,Not Available
,"San Francisco County, CA","06075","Large Central Metro","1","2018","2018",58,883305,6.6,5.0,8.5
,"San Francisco County, CA","06075","Large Central Metro","1","2019","2019",56,881549,6.4,4.8,8.2
,"San Francisco County, CA","06075","Large Central Metro","1","2020","2020",44,866606,5.1,3.7,6.8
,"San Francisco County, CA","06075","Large Central Metro","1","2021","2021",31,815201,3.8,2.6,5.4
,"San Francisco County, CA","06075","Large Central Metro","1","2022","2022",32,Not Available,Not Available,Not Available,Not Available
,"San Francisco County, CA","06075","Large Central Metro","1","2023","2023",34,Not Available,Not Available,Not Available,Not Available
,"San Francisco County, CA","06075","Large Central Metro","1","2024 ","2024",29,Not Available,Not Available,Not Available,Not Available
,"San Joaquin County, CA","06077","Medium Metro","3","2019","2019",16,762148,2.1,1.2,3.4
,"San Joaquin County, CA","06077","Medium Metro","3","2020","2020",33,767967,4.3,3.0,6.0
,"San Joaquin County, CA","06077","Medium Metro","3","2021","2021",26,789410,3.3,2.2,4.8
,"San Joaquin County, CA","06077","Medium Metro","3","2022","2022",23,Not Available,Not Available,Not Available,Not Available
,"San Joaquin County, CA","06077","Medium Metro","3","2023","2023",26,Not Available,Not Available,Not Available,Not Available
,"San Joaquin County, CA","06077","Medium Metro","3","2024 ","2024",14,Not Available,Not Available,Not Available,Not Available
,"San Luis Obispo County, CA","06079","Medium Metro","3","2020","2020",19,282249,6.7,4.1,10.5
,"San Luis Obispo County, CA","06079","Medium Metro","3","2021","2021",19,283159,6.7,4.0,10.5
,"San Luis Obispo County, CA","06079","Medium Metro","3","2022","2022",16,Not Available,Not Available,Not Available,Not Available
,"San Luis Obispo County, CA","06079","Medium Metro","3","2023","2023",17,Not Available,Not Available,Not Available,Not Available
,"San Mateo County, CA","06081","Large Fringe Metro","2","2018","2018",28,769545,3.6,2.4,5.3
,"San Mateo County, CA","06081","Large Fringe Metro","2","2019","2019",26,766573,3.4,2.2,5.0
