"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Orange County, FL","12095","Large Central Metro","1","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Orange County, FL","12095","Large Central Metro","1","2023","2023",13,Not Available,Not Available,Not Available,Not Available
,"Palm Beach County, FL","12099","Large Fringe Metro","2","2020","2020",12,1507600,0.8,0.4,1.4
,"Palm Beach County, FL","12099","Large Fringe Metro","2","2021","2021",14,1497987,0.9,0.5,1.6
,"Palm Beach County, FL","12099","Large Fringe Metro","2","2022","2022",12,Not Available,Not Available,Not Available,Not Available
,"Pinellas County, FL","12103","Large Central Metro","1","2018","2018",14,975280,1.4,0.8,2.4
,"Volusia County, FL","12127","Medium Metro","3","2021","2021",10,564412,1.8,0.8,3.3
,"Volusia County, FL","12127","Medium Metro","3","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Cobb County, GA","13067","Large Fringe Metro","2","2021","2021",10,766802,1.3,0.6,2.4
,"Fulton County, GA","13121","Large Central Metro","1","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Cook County, IL","17031","Large Central Metro","1","2018","2018",79,5180493,1.5,1.2,1.9
,"Cook County, IL","17031","Large Central Metro","1","2019","2019",91,5150233,1.8,1.4,2.2
,"Cook County, IL","17031","Large Central Metro","1","2020","2020",157,5108284,3.1,2.6,3.6
,"Cook County, IL","17031","Large Central Metro","1","2021","2021",111,5173146,2.1,1.7,2.5
,"Cook County, IL","17031","Large Central Metro","1","2022","2022",106,Not Available,Not Available,Not Available,Not Available
,"Cook County, IL","17031","Large Central Metro","1","2023","2023",99,Not Available,Not Available,Not Available,Not Available
,"Cook County, IL","17031","Large Central Metro","1","2024 ","2024",82,Not Available,Not Available,Not Available,Not Available
,"Lake County, IN","18089","Large Fringe Metro","2","2018","2018",10,484411,2.1,1.0,3.8
,"Lake County, IN","18089","Large Fringe Metro","2","2019","2019",15,485493,3.1,1.7,5.1
,"Marion County, IN","18097","Large Central Metro","1","2020","2020",11,966183,1.1,0.6,2.0
,"Marion County, IN","18097","Large Central Metro","1","2021","2021",13,971102,1.3,0.7,2.3
,"Marion County, IN","18097","Large Central Metro","1","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"Marion County, IN","18097","Large Central Metro","1","2023","2023",12,Not Available,Not Available,Not Available,Not Available
,"Marion County, IN","18097","Large Central Metro","1","2024 ","2024",17,Not Available,Not Available,Not Available,Not Available
,"Sedgwick County, KS","20173","Medium Metro","3","2019","2019",11,516042,2.1,1.1,3.8
,"Sedgwick County, KS","20173","Medium Metro","3","2023","2023",10,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, KY","21111","Large Central Metro","1","2023","2023",10,Not Available,Not Available,Not Available,Not Available
,"Jefferson Parish, LA","22051","Medium Metro","3","2021","2021",11,433688,2.5,1.3,4.5
,"Anne Arundel County, MD","24003","Large Fringe Metro","2","2018","2018",11,576031,1.9,1.0,3.4
,"Anne Arundel County, MD","24003","Large Fringe Metro","2","2019","2019",14,579234,2.4,1.3,4.1
,"Anne Arundel County, MD","24003","Large Fringe Metro","2","2020","2020",16,582777,2.7,1.6,4.5
,"Anne Arundel County, MD","24003","Large Fringe Metro","2","2021","2021",25,590336,4.2,2.7,6.3
,"Anne Arundel County, MD","24003","Large Fringe Metro","2","2022","2022",17,Not Available,Not Available,Not Available,Not Available
,"Anne Arundel County, MD","24003","Large Fringe Metro","2","2023","2023",16,Not Available,Not Available,Not Available,Not Available
,"Anne Arundel County, MD","24003","Large Fringe Metro","2","2024 ","2024",19,Not Available,Not Available,Not Available,Not Available
,"Baltimore County, MD","24005","Large Fringe Metro","2","2018","2018",42,828431,5.1,3.7,6.9
,"Baltimore County, MD","24005","Large Fringe Metro","2","2019","2019",39,827370,4.7,3.4,6.4
,"Baltimore County, MD","24005","Large Fringe Metro","2","2020","2020",48,826017,5.8,4.3,7.7
,"Baltimore County, MD","24005","Large Fringe Metro","2","2021","2021",47,849316,5.5,4.1,7.4
,"Baltimore County, MD","24005","Large Fringe Metro","2","2022","2022",33,Not Available,Not Available,Not Available,Not Available
,"Baltimore County, MD","24005","Large Fringe Metro","2","2023","2023",31,Not Available,Not Available,Not Available,Not Available
,"Baltimore County, MD","24005","Large Fringe Metro","2","2024 ","2024",34,Not Available,Not Available,Not Available,Not Available
,"Carroll County, MD","24013","Large Fringe Metro","2","2021","2021",12,173873,6.9,3.6,12.1
,"Cecil County, MD","24015","Large Fringe Metro","2","2022","2022",11,Not Available,Not Available,Not Available,Not Available
,"Harford County, MD","24025","Large Fringe Metro","2","2018","2018",13,253956,5.1,2.7,8.8
,"Harford County, MD","24025","Large Fringe Metro","2","2019","2019",10,255441,3.9,1.9,7.2
,"Harford County, MD","24025","Large Fringe Metro","2","2020","2020",15,256805,5.8,3.3,9.6
,"Harford County, MD","24025","Large Fringe Metro","2","2021","2021",13,262977,4.9,2.6,8.5
,"Harford County, MD","24025","Large Fringe Metro","2","2022","2022",18,Not Available,Not Available,Not Available,Not Available
,"Harford County, MD","24025","Large Fringe Metro","2","2023","2023",15,Not Available,Not Available,Not Available,Not Available
,"Washington County, MD","24043","Medium Metro","3","2020","2020",10,151146,6.6,3.2,12.2
,"Washington County, MD","24043","Medium Metro","3","2024 ","2024",13,Not Available,Not Available,Not Available,Not Available
,"Baltimore city, MD","24510","Large Central Metro","1","2018","2018",73,602495,12.1,9.5,15.2
,"Baltimore city, MD","24510","Large Central Metro","1","2019","2019",75,593490,12.6,9.9,15.8
,"Baltimore city, MD","24510","Large Central Metro","1","2020","2020",111,586131,18.9,15.4,22.5
,"Baltimore city, MD","24510","Large Central Metro","1","2021","2021",123,576498,21.3,17.6,25.1
,"Baltimore city, MD","24510","Large Central Metro","1","2022","2022",95,Not Available,Not Available,Not Available,Not Available
,"Baltimore city, MD","24510","Large Central Metro","1","2023","2023",82,Not Available,Not Available,Not Available,Not Available
,"Baltimore city, MD","24510","Large Central Metro","1","2024 ","2024",104,Not Available,Not Available,Not Available,Not Available
,"Bristol County, MA","25005","Large Fringe Metro","2","2018","2018",11,564022,2.0,1.0,3.5
,"Bristol County, MA","25005","Large Fringe Metro","2","2019","2019",11,565217,1.9,1.0,3.5
,"Bristol County, MA","25005","Large Fringe Metro","2","2021","2021",23,580164,4.0,2.5,5.9
,"Bristol County, MA","25005","Large Fringe Metro","2","2022","2022",17,Not Available,Not Available,Not Available,Not Available
,"Bristol County, MA","25005","Large Fringe Metro","2","2023","2023",26,Not Available,Not Available,Not Available,Not Available
,"Bristol County, MA","25005","Large Fringe Metro","2","2024 ","2024",20,Not Available,Not Available,Not Available,Not Available
,"Essex County, MA","25009","Large Fringe Metro","2","2018","2018",11,790638,1.4,0.7,2.5
,"Essex County, MA","25009","Large Fringe Metro","2","2020","2020",21,791263,2.7,1.6,4.1
,"Essex County, MA","25009","Large Fringe Metro","2","2021","2021",18,807074,2.2,1.3,3.5
,"Essex County, MA","25009","Large Fringe Metro","2","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Essex County, MA","25009","Large Fringe Metro","2","2023","2023",16,Not Available,Not Available,Not Available,Not Available
