"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"San Bernardino County, CA","06071","Large Fringe Metro","2","2022","2022",19,Not Available,Not Available,Not Available,Not Available
,"San Diego County, CA","06073","Large Central Metro","1","2018","2018",87,3343364,2.6,2.1,3.2
,"San Diego County, CA","06073","Large Central Metro","1","2019","2019",113,3338330,3.4,2.8,4.0
,"San Diego County, CA","06073","Large Central Metro","1","2020","2020",96,3332427,2.9,2.3,3.5
,"San Diego County, CA","06073","Large Central Metro","1","2021","2021",64,3286069,1.9,1.5,2.5
,"San Diego County, CA","06073","Large Central Metro","1","2022","2022",16,Not Available,Not Available,Not Available,Not Available
,"San Diego County, CA","06073","Large Central Metro","1","2023","2023",13,Not Available,Not Available,Not Available,Not Available
,"San Francisco County, CA","06075","Large Central Metro","1","2018","2018",45,883305,5.1,3.7,6.8
,"San Francisco County, CA","06075","Large Central Metro","1","2019","2019",70,881549,7.9,6.2,10.0
,"San Francisco County, CA","06075","Large Central Metro","1","2020","2020",63,866606,7.3,5.6,9.3
,"San Francisco County, CA","06075","Large Central Metro","1","2021","2021",65,815201,8.0,6.2,10.2
,"San Francisco County, CA","06075","Large Central Metro","1","2022","2022",51,Not Available,Not Available,Not Available,Not Available
,"San Francisco County, CA","06075","Large Central Metro","1","2023","2023",32,Not Available,Not Available,Not Available,Not Available
,"San Francisco County, CA","06075","Large Central Metro","1","2024 ","2024",33,Not Available,Not Available,Not Available,Not Available
,"San Joaquin County, CA","06077","Medium Metro","3","2018","2018",13,752660,1.7,0.9,3.0
,"San Joaquin County, CA","06077","Medium Metro","3","2021","2021",19,789410,2.4,1.4,3.8
,"San Luis Obispo County, CA","06079","Medium Metro","3","2020","2020",10,282249,3.5,1.7,6.5
,"Santa Barbara County, CA","06083","Medium Metro","3","2018","2018",13,446527,2.9,1.6,5.0
,"Santa Clara County, CA","06085","Large Central Metro","1","2018","2018",20,1937570,1.0,0.6,1.6
,"Santa Clara County, CA","06085","Large Central Metro","1","2019","2019",41,1927852,2.1,1.5,2.9
,"Santa Clara County, CA","06085","Large Central Metro","1","2020","2020",28,1907105,1.5,1.0,2.1
,"Santa Clara County, CA","06085","Large Central Metro","1","2021","2021",16,1885508,0.8,0.5,1.4
