"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"San Bernardino County, CA","06071","White","2106-3","2021","2021",45,1659921,2.7,2.0,3.6
,"San Bernardino County, CA","06071","White","2106-3","2022","2022",17,1651827,1.0,0.6,1.6
,"San Diego County, CA","06073","Black or African American","2054-5","2018","2018",10,184779,5.4,2.6,10.0
,"San Diego County, CA","06073","White","2106-3","2018","2018",73,2522987,2.9,2.3,3.6
,"San Diego County, CA","06073","White","2106-3","2019","2019",101,2517388,4.0,3.2,4.8
,"San Diego County, CA","06073","White","2106-3","2020","2020",82,2493970,3.3,2.6,4.1
,"San Diego County, CA","06073","White","2106-3","2021","2021",50,2452765,2.0,1.5,2.7
,"San Diego County, CA","06073","White","2106-3","2022","2022",11,2437005,0.5,0.2,0.8
,"San Diego County, CA","06073","White","2106-3","2023","2023",10,2420536,0.4,0.2,0.8
,"San Francisco County, CA","06075","Black or African American","2054-5","2018","2018",12,49184,24.4,12.6,42.6
,"San Francisco County, CA","06075","Black or African American","2054-5","2019","2019",21,49015,42.8,26.5,65.5
,"San Francisco County, CA","06075","Black or African American","2054-5","2020","2020",17,48069,35.4,20.6,56.6
,"San Francisco County, CA","06075","Black or African American","2054-5","2021","2021",22,46164,47.7,29.9,72.2
,"San Francisco County, CA","06075","Black or African American","2054-5","2022","2022",19,46092,41.2,24.8,64.4
,"San Francisco County, CA","06075","Black or African American","2054-5","2023","2023",13,45915,28.3,15.1,48.4
,"San Francisco County, CA","06075","Black or African American","2054-5","2024 ","2024",11,46019,23.9,11.9,42.8
,"San Francisco County, CA","06075","White","2106-3","2018","2018",29,467444,6.2,4.2,8.9
,"San Francisco County, CA","06075","White","2106-3","2019","2019",46,465286,9.9,7.2,13.2
,"San Francisco County, CA","06075","White","2106-3","2020","2020",39,451167,8.6,6.1,11.8
,"San Francisco County, CA","06075","White","2106-3","2021","2021",35,416171,8.4,5.9,11.7
,"San Francisco County, CA","06075","White","2106-3","2022","2022",24,411022,5.8,3.7,8.7
,"San Francisco County, CA","06075","White","2106-3","2023","2023",17,411301,4.1,2.4,6.6
,"San Francisco County, CA","06075","White","2106-3","2024 ","2024",17,419147,4.1,2.4,6.5
,"San Joaquin County, CA","06077","White","2106-3","2018","2018",11,500416,2.2,1.1,3.9
,"San Joaquin County, CA","06077","White","2106-3","2021","2021",15,509495,2.9,1.6,4.9
,"San Luis Obispo County, CA","06079","White","2106-3","2020","2020",10,250107,4.0,1.9,7.4
,"Santa Barbara County, CA","06083","White","2106-3","2018","2018",11,381389,2.9,1.4,5.2
,"Santa Clara County, CA","06085","White","2106-3","2018","2018",18,1028134,1.8,1.0,2.8
