"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Butte County, CA","06007","White","2106-3","2022","2022",13,174774,7.4,4.0,12.7
,"Butte County, CA","06007","White","2106-3","2023","2023",16,173754,9.2,5.3,15.0
,"Butte County, CA","06007","White","2106-3","2024 ","2024",10,173775,5.8,2.8,10.6
,"Contra Costa County, CA","06013","White","2106-3","2018","2018",34,753341,4.5,3.1,6.3
,"Contra Costa County, CA","06013","White","2106-3","2019","2019",24,751283,3.2,2.0,4.8
,"Contra Costa County, CA","06013","White","2106-3","2020","2020",18,740033,2.4,1.4,3.8
,"Contra Costa County, CA","06013","White","2106-3","2021","2021",12,739560,1.6,0.8,2.8
,"Contra Costa County, CA","06013","White","2106-3","2022","2022",18,726069,2.5,1.5,3.9
,"Contra Costa County, CA","06013","White","2106-3","2023","2023",17,720163,2.4,1.4,3.8
,"Contra Costa County, CA","06013","White","2106-3","2024 ","2024",10,721596,1.4,0.7,2.5
,"El Dorado County, CA","06017","White","2106-3","2020","2020",12,170129,7.1,3.6,12.3
,"El Dorado County, CA","06017","White","2106-3","2021","2021",16,169554,9.4,5.4,15.3
,"El Dorado County, CA","06017","White","2106-3","2022","2022",10,168377,5.9,2.8,10.9
,"Fresno County, CA","06019","White","2106-3","2018","2018",17,762683,2.2,1.3,3.6
,"Fresno County, CA","06019","White","2106-3","2019","2019",16,765202,2.1,1.2,3.4
,"Fresno County, CA","06019","White","2106-3","2020","2020",11,759285,1.4,0.7,2.6
,"Fresno County, CA","06019","White","2106-3","2021","2021",14,766925,1.8,1.0,3.1
,"Fresno County, CA","06019","White","2106-3","2022","2022",14,763960,1.8,1.0,3.1
,"Fresno County, CA","06019","White","2106-3","2023","2023",19,762033,2.5,1.5,3.9
,"Fresno County, CA","06019","White","2106-3","2024 ","2024",21,763948,2.7,1.7,4.2
,"Humboldt County, CA","06023","White","2106-3","2018","2018",11,113693,9.7,4.8,17.3
,"Humboldt County, CA","06023","White","2106-3","2019","2019",10,112830,8.9,4.3,16.3
,"Humboldt County, CA","06023","White","2106-3","2021","2021",16,112646,14.2,8.1,23.1
,"Humboldt County, CA","06023","White","2106-3","2022","2022",13,111165,11.7,6.2,20.0
,"Kern County, CA","06029","White","2106-3","2018","2018",41,738176,5.6,4.0,7.5
,"Kern County, CA","06029","White","2106-3","2019","2019",31,740959,4.2,2.8,5.9
,"Kern County, CA","06029","White","2106-3","2020","2020",54,737207,7.3,5.5,9.6
