"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Los Angeles County, CA","06037","9th through 12th grade with no diploma","2","2021","2021",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","9th through 12th grade with no diploma","2","2022","2022",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","9th through 12th grade with no diploma","2","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","9th through 12th grade with no diploma","2","2024 ","2024",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","High school graduate or GED completed","3","2021","2021",52,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","High school graduate or GED completed","3","2022","2022",56,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","High school graduate or GED completed","3","2023","2023",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","High school graduate or GED completed","3","2024 ","2024",47,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Some college credit, but not a degree.","4","2021","2021",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Some college credit, but not a degree.","4","2022","2022",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Some college credit, but not a degree.","4","2023","2023",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Some college credit, but not a degree.","4","2024 ","2024",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Associate degree (AA,AS)","5","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Bachelor?s degree (BA, AB, BS)","6","2021","2021",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Bachelor?s degree (BA, AB, BS)","6","2022","2022",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Bachelor?s degree (BA, AB, BS)","6","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Bachelor?s degree (BA, AB, BS)","6","2024 ","2024",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Not Available","10","2018","2018",185,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Not Available","10","2019","2019",160,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Not Available","10","2020","2020",156,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mendocino County, CA","06045","Not Available","10","2018","2018",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Merced County, CA","06047","Not Available","10","2018","2018",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Merced County, CA","06047","Not Available","10","2019","2019",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","9th through 12th grade with no diploma","2","2021","2021",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","High school graduate or GED completed","3","2021","2021",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","High school graduate or GED completed","3","2022","2022",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
