"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Los Angeles County, CA","06037","High school graduate or GED completed","3","2021","2021",160,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","High school graduate or GED completed","3","2022","2022",183,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","High school graduate or GED completed","3","2023","2023",196,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","High school graduate or GED completed","3","2024 ","2024",138,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Some college credit, but not a degree.","4","2021","2021",65,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Some college credit, but not a degree.","4","2022","2022",67,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Some college credit, but not a degree.","4","2023","2023",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Some college credit, but not a degree.","4","2024 ","2024",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Associate degree (AA,AS)","5","2021","2021",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Associate degree (AA,AS)","5","2022","2022",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Associate degree (AA,AS)","5","2023","2023",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Associate degree (AA,AS)","5","2024 ","2024",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Bachelor?s degree (BA, AB, BS)","6","2021","2021",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Bachelor?s degree (BA, AB, BS)","6","2022","2022",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Bachelor?s degree (BA, AB, BS)","6","2023","2023",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
