"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Cochise County, AZ","04003","Not Available","10","2019","2019",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Cochise County, AZ","04003","Not Available","10","2020","2020",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Coconino County, AZ","04005","Not Available","10","2018","2018",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Coconino County, AZ","04005","Not Available","10","2020","2020",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","8th grade or less","1","2021","2021",54,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","8th grade or less","1","2022","2022",50,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","8th grade or less","1","2023","2023",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","8th grade or less","1","2024 ","2024",55,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","9th through 12th grade with no diploma","2","2021","2021",162,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","9th through 12th grade with no diploma","2","2022","2022",183,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","9th through 12th grade with no diploma","2","2023","2023",184,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","9th through 12th grade with no diploma","2","2024 ","2024",188,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","High school graduate or GED completed","3","2021","2021",317,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","High school graduate or GED completed","3","2022","2022",355,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","High school graduate or GED completed","3","2023","2023",370,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","High school graduate or GED completed","3","2024 ","2024",388,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Some college credit, but not a degree.","4","2021","2021",114,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Some college credit, but not a degree.","4","2022","2022",108,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Some college credit, but not a degree.","4","2023","2023",127,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Some college credit, but not a degree.","4","2024 ","2024",131,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Associate degree (AA,AS)","5","2021","2021",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Associate degree (AA,AS)","5","2022","2022",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Associate degree (AA,AS)","5","2023","2023",46,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Associate degree (AA,AS)","5","2024 ","2024",49,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Bachelor?s degree (BA, AB, BS)","6","2021","2021",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Bachelor?s degree (BA, AB, BS)","6","2022","2022",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Bachelor?s degree (BA, AB, BS)","6","2023","2023",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Bachelor?s degree (BA, AB, BS)","6","2024 ","2024",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Unknown or Not Stated","9","2021","2021",67,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Unknown or Not Stated","9","2022","2022",97,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Unknown or Not Stated","9","2023","2023",81,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Unknown or Not Stated","9","2024 ","2024",111,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Not Available","10","2018","2018",365,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Not Available","10","2019","2019",465,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Not Available","10","2020","2020",650,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mohave County, AZ","04015","9th through 12th grade with no diploma","2","2022","2022",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mohave County, AZ","04015","9th through 12th grade with no diploma","2","2023","2023",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mohave County, AZ","04015","9th through 12th grade with no diploma","2","2024 ","2024",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mohave County, AZ","04015","High school graduate or GED completed","3","2021","2021",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mohave County, AZ","04015","High school graduate or GED completed","3","2022","2022",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mohave County, AZ","04015","High school graduate or GED completed","3","2023","2023",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mohave County, AZ","04015","High school graduate or GED completed","3","2024 ","2024",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mohave County, AZ","04015","Not Available","10","2018","2018",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mohave County, AZ","04015","Not Available","10","2019","2019",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mohave County, AZ","04015","Not Available","10","2020","2020",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Navajo County, AZ","04017","9th through 12th grade with no diploma","2","2021","2021",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Navajo County, AZ","04017","9th through 12th grade with no diploma","2","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Navajo County, AZ","04017","9th through 12th grade with no diploma","2","2024 ","2024",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Navajo County, AZ","04017","High school graduate or GED completed","3","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Navajo County, AZ","04017","High school graduate or GED completed","3","2023","2023",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Navajo County, AZ","04017","High school graduate or GED completed","3","2024 ","2024",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Navajo County, AZ","04017","Not Available","10","2020","2020",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","8th grade or less","1","2022","2022",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","8th grade or less","1","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","8th grade or less","1","2024 ","2024",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","9th through 12th grade with no diploma","2","2021","2021",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","9th through 12th grade with no diploma","2","2022","2022",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","9th through 12th grade with no diploma","2","2023","2023",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","9th through 12th grade with no diploma","2","2024 ","2024",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","High school graduate or GED completed","3","2021","2021",84,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","High school graduate or GED completed","3","2022","2022",90,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","High school graduate or GED completed","3","2023","2023",86,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","High school graduate or GED completed","3","2024 ","2024",89,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Some college credit, but not a degree.","4","2021","2021",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Some college credit, but not a degree.","4","2022","2022",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Some college credit, but not a degree.","4","2023","2023",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Some college credit, but not a degree.","4","2024 ","2024",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Associate degree (AA,AS)","5","2022","2022",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Associate degree (AA,AS)","5","2024 ","2024",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Bachelor?s degree (BA, AB, BS)","6","2024 ","2024",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Unknown or Not Stated","9","2021","2021",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Unknown or Not Stated","9","2022","2022",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Unknown or Not Stated","9","2023","2023",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Unknown or Not Stated","9","2024 ","2024",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Not Available","10","2018","2018",100,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Not Available","10","2019","2019",125,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Not Available","10","2020","2020",171,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pinal County, AZ","04021","9th through 12th grade with no diploma","2","2021","2021",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
