"Notes","County","County Code","Single-Year Ages","Single-Year Ages Code","Year","Year Code",Deaths
,"Cook County, IL","17031","53 years","53","2019","2019",21
,"Cook County, IL","17031","53 years","53","2020","2020",19
,"Cook County, IL","17031","53 years","53","2021","2021",14
,"Cook County, IL","17031","53 years","53","2022","2022",10
,"Cook County, IL","17031","54 years","54","2018","2018",16
,"Cook County, IL","17031","54 years","54","2019","2019",19
,"Cook County, IL","17031","54 years","54","2020","2020",14
,"Cook County, IL","17031","54 years","54","2021","2021",12
,"Cook County, IL","17031","54 years","54","2022","2022",14
,"Cook County, IL","17031","55 years","55","2018","2018",18
,"Cook County, IL","17031","55 years","55","2019","2019",16
,"Cook County, IL","17031","55 years","55","2020","2020",25
,"Cook County, IL","17031","55 years","55","2021","2021",21
,"Cook County, IL","17031","55 years","55","2022","2022",12
,"Cook County, IL","17031","55 years","55","2023","2023",11
,"Cook County, IL","17031","56 years","56","2018","2018",19
,"Cook County, IL","17031","56 years","56","2019","2019",20
,"Cook County, IL","17031","56 years","56","2020","2020",20
,"Cook County, IL","17031","56 years","56","2021","2021",20
,"Cook County, IL","17031","56 years","56","2022","2022",11
,"Cook County, IL","17031","56 years","56","2023","2023",12
,"Cook County, IL","17031","56 years","56","2024 ","2024",16
,"Cook County, IL","17031","57 years","57","2018","2018",24
,"Cook County, IL","17031","57 years","57","2019","2019",20
,"Cook County, IL","17031","57 years","57","2020","2020",30
,"Cook County, IL","17031","57 years","57","2021","2021",14
,"Cook County, IL","17031","57 years","57","2024 ","2024",10
,"Cook County, IL","17031","58 years","58","2018","2018",11
,"Cook County, IL","17031","58 years","58","2019","2019",19
,"Cook County, IL","17031","58 years","58","2020","2020",20
,"Cook County, IL","17031","58 years","58","2021","2021",19
,"Cook County, IL","17031","58 years","58","2022","2022",13
,"Cook County, IL","17031","58 years","58","2023","2023",12
,"Cook County, IL","17031","59 years","59","2018","2018",11
,"Cook County, IL","17031","59 years","59","2019","2019",10
,"Cook County, IL","17031","59 years","59","2020","2020",26
,"Cook County, IL","17031","59 years","59","2021","2021",24
,"Cook County, IL","17031","59 years","59","2022","2022",15
,"Cook County, IL","17031","60 years","60","2018","2018",16
,"Cook County, IL","17031","60 years","60","2019","2019",20
,"Cook County, IL","17031","60 years","60","2020","2020",24
,"Cook County, IL","17031","60 years","60","2021","2021",20
,"Cook County, IL","17031","60 years","60","2022","2022",12
,"Cook County, IL","17031","61 years","61","2018","2018",10
,"Cook County, IL","17031","61 years","61","2019","2019",10
,"Cook County, IL","17031","61 years","61","2020","2020",20
,"Cook County, IL","17031","61 years","61","2021","2021",18
,"Cook County, IL","17031","61 years","61","2022","2022",10
,"Cook County, IL","17031","62 years","62","2019","2019",15
,"Cook County, IL","17031","62 years","62","2020","2020",10
,"Cook County, IL","17031","62 years","62","2023","2023",13
,"Cook County, IL","17031","63 years","63","2018","2018",11
,"Cook County, IL","17031","63 years","63","2020","2020",12
,"Cook County, IL","17031","63 years","63","2021","2021",15
,"Cook County, IL","17031","64 years","64","2020","2020",14
,"Cook County, IL","17031","64 years","64","2021","2021",17
,"Cook County, IL","17031","65 years","65","2020","2020",10
,"Cook County, IL","17031","65 years","65","2022","2022",12
,"Cook County, IL","17031","65 years","65","2023","2023",11
,"Cook County, IL","17031","67 years","67","2020","2020",11
,"Wayne County, MI","26163","35 years","35","2020","2020",10
,"Wayne County, MI","26163","36 years","36","2018","2018",10
,"Wayne County, MI","26163","46 years","46","2018","2018",12
,"Camden County, NJ","34007","38 years","38","2019","2019",10
,"Bronx County, NY","36005","53 years","53","2020","2020",11
,"Bronx County, NY","36005","54 years","54","2020","2020",10
,"Bronx County, NY","36005","55 years","55","2018","2018",10
,"Bronx County, NY","36005","55 years","55","2021","2021",12
,"Bronx County, NY","36005","57 years","57","2019","2019",11
,"Bronx County, NY","36005","58 years","58","2021","2021",10
,"Bronx County, NY","36005","58 years","58","2022","2022",10
,"Bronx County, NY","36005","58 years","58","2024 ","2024",11
,"Bronx County, NY","36005","59 years","59","2022","2022",12
,"Bronx County, NY","36005","62 years","62","2021","2021",11
,"Bronx County, NY","36005","62 years","62","2022","2022",12
,"Bronx County, NY","36005","64 years","64","2023","2023",11
,"Kings County, NY","36047","50 years","50","2021","2021",11
,"Kings County, NY","36047","50 years","50","2022","2022",10
,"Kings County, NY","36047","57 years","57","2023","2023",10
,"Kings County, NY","36047","58 years","58","2022","2022",10
,"Kings County, NY","36047","59 years","59","2021","2021",12
,"Kings County, NY","36047","61 years","61","2021","2021",11
,"Kings County, NY","36047","62 years","62","2021","2021",10
,"Kings County, NY","36047","62 years","62","2022","2022",11
,"Kings County, NY","36047","64 years","64","2023","2023",13
,"New York County, NY","36061","57 years","57","2022","2022",10
,"Allegheny County, PA","42003","27 years","27","2019","2019",11
