"Notes","County","County Code","Single-Year Ages","Single-Year Ages Code",Deaths
,"Kings County, NY","36047","64 years","64",12
,"Kings County, NY","36047","65 years","65",13
,"Kings County, NY","36047","66 years","66",12
,"Kings County, NY","36047","68 years","68",10
,"Kings County, NY","36047","69 years","69",10
,"New York County, NY","36061","53 years","53",12
,"New York County, NY","36061","55 years","55",12
,"New York County, NY","36061","56 years","56",10
,"New York County, NY","36061","58 years","58",10
,"New York County, NY","36061","59 years","59",17
,"New York County, NY","36061","60 years","60",12
,"New York County, NY","36061","61 years","61",11
,"New York County, NY","36061","62 years","62",16
,"New York County, NY","36061","63 years","63",12
,"New York County, NY","36061","64 years","64",14
,"New York County, NY","36061","65 years","65",12
,"New York County, NY","36061","67 years","67",10
,"Queens County, NY","36081","41 years","41",10
,"Philadelphia County, PA","42101","35 years","35",10
,"Philadelphia County, PA","42101","37 years","37",10
,"Philadelphia County, PA","42101","45 years","45",11
,"Philadelphia County, PA","42101","46 years","46",10
,"Philadelphia County, PA","42101","53 years","53",12
,"Philadelphia County, PA","42101","57 years","57",10
,"Philadelphia County, PA","42101","58 years","58",10
,"Philadelphia County, PA","42101","59 years","59",15
,"Philadelphia County, PA","42101","60 years","60",15
,"Philadelphia County, PA","42101","64 years","64",10
,"King County, WA","53033","41 years","41",12
,"King County, WA","53033","49 years","49",10
,"King County, WA","53033","51 years","51",11
,"King County, WA","53033","55 years","55",11
,"King County, WA","53033","56 years","56",10
,"King County, WA","53033","57 years","57",12
,"King County, WA","53033","60 years","60",14
,"King County, WA","53033","61 years","61",10
,"King County, WA","53033","62 years","62",15
,"King County, WA","53033","63 years","63",15
,"King County, WA","53033","64 years","64",13
,"King County, WA","53033","65 years","65",13
,"King County, WA","53033","66 years","66",13
"---"
"Dataset: Multiple Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"MCD - ICD-10 Codes: T40.3 (Methadone)"
"UCD - ICD-10 Codes: X40 (Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics); X41"
"(Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not"
"elsewhere classified); X42 (Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not"
"elsewhere classified); X43 (Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system); X44"
