"Notes","County","County Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"El Paso County, CO","08041","Male","M","2023","2023",11,378172,2.9,1.5,5.2
,"Jefferson County, CO","08059","Male","M","2018","2018",11,289294,3.8,1.9,6.8
,"Jefferson County, CO","08059","Male","M","2020","2020",13,291446,4.5,2.4,7.6
,"Jefferson County, CO","08059","Male","M","2021","2021",14,291593,4.8,2.6,8.1
,"Larimer County, CO","08069","Male","M","2020","2020",13,179549,7.2,3.9,12.4
,"Pueblo County, CO","08101","Male","M","2021","2021",11,84052,13.1,6.5,23.4
,"Fairfield County, CT","09001","Female","F","2018","2018",11,484075,2.3,1.1,4.1
,"Fairfield County, CT","09001","Female","F","2019","2019",12,483922,2.5,1.3,4.3
,"Fairfield County, CT","09001","Male","M","2018","2018",56,459748,12.2,9.2,15.8
,"Fairfield County, CT","09001","Male","M","2019","2019",52,459410,11.3,8.5,14.8
,"Fairfield County, CT","09001","Male","M","2020","2020",47,458994,10.2,7.5,13.6
,"Fairfield County, CT","09001","Male","M","2021","2021",23,470472,4.9,3.1,7.3
,"Fairfield County, CT","09001","Male","M","2022","2022",19,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","Male","M","2023","2023",21,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","Male","M","2024 ","2024",11,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","Female","F","2018","2018",12,458580,2.6,1.4,4.6
,"Hartford County, CT","09003","Female","F","2019","2019",15,458516,3.3,1.8,5.4
,"Hartford County, CT","09003","Male","M","2018","2018",52,434117,12.0,8.9,15.7
,"Hartford County, CT","09003","Male","M","2019","2019",43,433204,9.9,7.2,13.4
,"Hartford County, CT","09003","Male","M","2020","2020",24,431892,5.6,3.6,8.3
,"Hartford County, CT","09003","Male","M","2021","2021",18,438422,4.1,2.4,6.5
,"Hartford County, CT","09003","Male","M","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Litchfield County, CT","09005","Female","F","2018","2018",13,91560,14.2,7.6,24.3
,"Litchfield County, CT","09005","Female","F","2019","2019",10,91040,11.0,5.3,20.2
,"Litchfield County, CT","09005","Male","M","2018","2018",28,89551,31.3,20.8,45.2
,"Litchfield County, CT","09005","Male","M","2019","2019",28,89293,31.4,20.8,45.3
,"Litchfield County, CT","09005","Male","M","2020","2020",14,88880,15.8,8.6,26.4
,"Middlesex County, CT","09007","Male","M","2018","2018",14,79242,17.7,9.7,29.6
,"New Haven County, CT","09009","Female","F","2018","2018",24,444126,5.4,3.5,8.0
,"New Haven County, CT","09009","Female","F","2019","2019",28,442668,6.3,4.2,9.1
,"New Haven County, CT","09009","Female","F","2020","2020",18,441551,4.1,2.4,6.4
,"New Haven County, CT","09009","Female","F","2021","2021",12,445297,2.7,1.4,4.7
,"New Haven County, CT","09009","Male","M","2018","2018",94,413494,22.7,18.4,27.8
,"New Haven County, CT","09009","Male","M","2019","2019",118,412089,28.6,23.5,33.8
,"New Haven County, CT","09009","Male","M","2020","2020",68,410397,16.6,12.9,21.0
,"New Haven County, CT","09009","Male","M","2021","2021",38,418403,9.1,6.4,12.5
,"New Haven County, CT","09009","Male","M","2022","2022",38,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","Male","M","2023","2023",33,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","Male","M","2024 ","2024",15,Not Available,Not Available,Not Available,Not Available
,"New London County, CT","09011","Male","M","2018","2018",15,133702,11.2,6.3,18.5
,"New London County, CT","09011","Male","M","2019","2019",12,133006,9.0,4.7,15.8
,"Kent County, DE","10001","Male","M","2018","2018",16,86023,18.6,10.6,30.2
,"Kent County, DE","10001","Male","M","2019","2019",13,87058,14.9,8.0,25.5
,"Kent County, DE","10001","Male","M","2020","2020",12,88384,13.6,7.0,23.7
,"New Castle County, DE","10003","Female","F","2018","2018",26,288212,9.0,5.9,13.2
,"New Castle County, DE","10003","Female","F","2019","2019",17,288297,5.9,3.4,9.4
,"New Castle County, DE","10003","Female","F","2021","2021",11,293432,3.7,1.9,6.7
,"New Castle County, DE","10003","Female","F","2022","2022",12,295667,4.1,2.1,7.1
,"New Castle County, DE","10003","Male","M","2018","2018",72,271123,26.6,20.8,33.4
,"New Castle County, DE","10003","Male","M","2019","2019",52,270456,19.2,14.4,25.2
,"New Castle County, DE","10003","Male","M","2020","2020",31,271826,11.4,7.7,16.2
,"New Castle County, DE","10003","Male","M","2021","2021",29,278276,10.4,7.0,15.0
,"New Castle County, DE","10003","Male","M","2022","2022",29,279827,10.4,6.9,14.9
,"Sussex County, DE","10005","Female","F","2020","2020",15,125105,12.0,6.7,19.8
,"Sussex County, DE","10005","Male","M","2018","2018",19,110781,17.2,10.3,26.8
,"Sussex County, DE","10005","Male","M","2019","2019",17,113279,15.0,8.7,24.0
,"Sussex County, DE","10005","Male","M","2020","2020",21,116530,18.0,11.2,27.5
,"Sussex County, DE","10005","Male","M","2021","2021",14,120086,11.7,6.4,19.6
,"District of Columbia, DC","11001","Female","F","2018","2018",19,369148,5.1,3.1,8.0
,"District of Columbia, DC","11001","Female","F","2019","2019",14,371038,3.8,2.1,6.3
,"District of Columbia, DC","11001","Female","F","2020","2020",25,374884,6.7,4.3,9.8
,"District of Columbia, DC","11001","Female","F","2021","2021",13,351146,3.7,2.0,6.3
,"District of Columbia, DC","11001","Female","F","2023","2023",13,357257,3.6,1.9,6.2
,"District of Columbia, DC","11001","Male","M","2018","2018",59,333307,17.7,13.5,22.8
,"District of Columbia, DC","11001","Male","M","2019","2019",71,334711,21.2,16.6,26.8
,"District of Columbia, DC","11001","Male","M","2020","2020",61,337932,18.1,13.8,23.2
,"District of Columbia, DC","11001","Male","M","2021","2021",37,318904,11.6,8.2,16.0
,"District of Columbia, DC","11001","Male","M","2022","2022",30,319682,9.4,6.3,13.4
,"District of Columbia, DC","11001","Male","M","2023","2023",30,321715,9.3,6.3,13.3
,"District of Columbia, DC","11001","Male","M","2024 ","2024",16,332803,4.8,2.7,7.8
,"Brevard County, FL","12009","Male","M","2018","2018",19,291903,6.5,3.9,10.2
,"Broward County, FL","12011","Female","F","2019","2019",21,1001908,2.1,1.3,3.2
,"Broward County, FL","12011","Female","F","2020","2020",18,1003500,1.8,1.1,2.8
,"Broward County, FL","12011","Female","F","2021","2021",13,983558,1.3,0.7,2.3
,"Broward County, FL","12011","Male","M","2018","2018",38,950568,4.0,2.8,5.5
,"Broward County, FL","12011","Male","M","2019","2019",41,950870,4.3,3.1,5.8
,"Broward County, FL","12011","Male","M","2020","2020",43,954605,4.5,3.3,6.1
,"Broward County, FL","12011","Male","M","2021","2021",40,947425,4.2,3.0,5.7
,"Broward County, FL","12011","Male","M","2022","2022",15,957315,1.6,0.9,2.6
,"Collier County, FL","12021","Male","M","2018","2018",11,186769,5.9,2.9,10.5
,"Collier County, FL","12021","Male","M","2019","2019",10,189649,5.3,2.5,9.7
,"Collier County, FL","12021","Male","M","2020","2020",17,193490,8.8,5.1,14.1
,"Collier County, FL","12021","Male","M","2021","2021",11,191281,5.8,2.9,10.3
,"Duval County, FL","12031","Female","F","2018","2018",12,489747,2.5,1.3,4.3
,"Duval County, FL","12031","Female","F","2019","2019",13,493530,2.6,1.4,4.5
,"Duval County, FL","12031","Male","M","2018","2018",26,460434,5.6,3.7,8.3
,"Duval County, FL","12031","Male","M","2019","2019",28,464225,6.0,4.0,8.7
,"Duval County, FL","12031","Male","M","2020","2020",24,468251,5.1,3.3,7.6
,"Escambia County, FL","12033","Male","M","2018","2018",11,156179,7.0,3.5,12.6
,"Escambia County, FL","12033","Male","M","2019","2019",13,157221,8.3,4.4,14.1
,"Escambia County, FL","12033","Male","M","2020","2020",19,158917,12.0,7.2,18.7
,"Escambia County, FL","12033","Male","M","2021","2021",18,159630,11.3,6.7,17.8
,"Escambia County, FL","12033","Male","M","2022","2022",11,160572,6.9,3.4,12.3
,"Hillsborough County, FL","12057","Female","F","2018","2018",27,733948,3.7,2.4,5.4
,"Hillsborough County, FL","12057","Female","F","2019","2019",18,751639,2.4,1.4,3.8
,"Hillsborough County, FL","12057","Female","F","2020","2020",26,764482,3.4,2.2,5.0
,"Hillsborough County, FL","12057","Female","F","2021","2021",13,750461,1.7,0.9,3.0
,"Hillsborough County, FL","12057","Male","M","2018","2018",69,702940,9.8,7.6,12.4
,"Hillsborough County, FL","12057","Male","M","2019","2019",57,720329,7.9,6.0,10.3
,"Hillsborough County, FL","12057","Male","M","2020","2020",88,733475,12.0,9.6,14.8
,"Hillsborough County, FL","12057","Male","M","2021","2021",30,727733,4.1,2.8,5.9
,"Hillsborough County, FL","12057","Male","M","2022","2022",23,746763,3.1,2.0,4.6
,"Hillsborough County, FL","12057","Male","M","2023","2023",10,756860,1.3,0.6,2.4
,"Lake County, FL","12069","Male","M","2019","2019",11,177787,6.2,3.1,11.1
,"Lee County, FL","12071","Male","M","2018","2018",28,369372,7.6,5.0,11.0
,"Lee County, FL","12071","Male","M","2019","2019",15,377301,4.0,2.2,6.6
,"Lee County, FL","12071","Male","M","2020","2020",12,387013,3.1,1.6,5.4
,"Marion County, FL","12083","Female","F","2019","2019",10,190395,5.3,2.5,9.7
,"Marion County, FL","12083","Female","F","2020","2020",11,194382,5.7,2.8,10.1
,"Marion County, FL","12083","Male","M","2018","2018",21,172642,12.2,7.5,18.6
,"Marion County, FL","12083","Male","M","2019","2019",24,175184,13.7,8.8,20.4
,"Marion County, FL","12083","Male","M","2020","2020",25,179131,14.0,9.0,20.6
,"Marion County, FL","12083","Male","M","2021","2021",13,186194,7.0,3.7,11.9
,"Miami-Dade County, FL","12086","Female","F","2018","2018",12,1420863,0.8,0.4,1.5
,"Miami-Dade County, FL","12086","Female","F","2019","2019",10,1396760,0.7,0.3,1.3
,"Miami-Dade County, FL","12086","Male","M","2018","2018",40,1340718,3.0,2.1,4.1
,"Miami-Dade County, FL","12086","Male","M","2019","2019",42,1320180,3.2,2.3,4.3
,"Miami-Dade County, FL","12086","Male","M","2020","2020",27,1317299,2.0,1.4,3.0
,"Miami-Dade County, FL","12086","Male","M","2021","2021",11,1305339,0.8,0.4,1.5
,"Okaloosa County, FL","12091","Male","M","2018","2018",10,104997,9.5,4.6,17.5
,"Okaloosa County, FL","12091","Male","M","2020","2020",11,108010,10.2,5.1,18.2
,"Orange County, FL","12095","Female","F","2019","2019",12,709659,1.7,0.9,3.0
,"Orange County, FL","12095","Male","M","2018","2018",37,677345,5.5,3.8,7.5
,"Orange County, FL","12095","Male","M","2019","2019",33,683793,4.8,3.3,6.8
