"Notes","County","County Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Clark County, NV","32003","Female","F","2023","2023",11,1168143,0.9,0.5,1.7
,"Clark County, NV","32003","Male","M","2018","2018",16,1112805,1.4,0.8,2.3
,"Clark County, NV","32003","Male","M","2019","2019",11,1130230,1.0,0.5,1.7
,"Clark County, NV","32003","Male","M","2020","2020",12,1153732,1.0,0.5,1.8
,"Clark County, NV","32003","Male","M","2023","2023",14,1168430,1.2,0.7,2.0
,"Clark County, NV","32003","Male","M","2024 ","2024",12,1199168,1.0,0.5,1.7
,"Essex County, NJ","34013","Male","M","2022","2022",15,413711,3.6,2.0,6.0
,"Essex County, NJ","34013","Male","M","2023","2023",10,413777,2.4,1.2,4.4
,"Middlesex County, NJ","34023","Male","M","2021","2021",12,428279,2.8,1.4,4.9
,"Middlesex County, NJ","34023","Male","M","2022","2022",10,428786,2.3,1.1,4.3
,"Monmouth County, NJ","34025","Female","F","2021","2021",15,329202,4.6,2.6,7.5
,"Monmouth County, NJ","34025","Male","M","2018","2018",14,302288,4.6,2.5,7.8
,"Monmouth County, NJ","34025","Male","M","2019","2019",13,301063,4.3,2.3,7.4
,"Union County, NJ","34039","Male","M","2020","2020",12,272120,4.4,2.3,7.7
,"Bernalillo County, NM","35001","Female","F","2018","2018",10,345729,2.9,1.4,5.3
,"Bernalillo County, NM","35001","Female","F","2019","2019",11,346286,3.2,1.6,5.7
,"Bernalillo County, NM","35001","Female","F","2020","2020",14,347678,4.0,2.2,6.8
,"Bernalillo County, NM","35001","Female","F","2021","2021",15,342463,4.4,2.5,7.2
,"Bernalillo County, NM","35001","Female","F","2023","2023",10,341489,2.9,1.4,5.4
,"Bernalillo County, NM","35001","Female","F","2024 ","2024",12,341225,3.5,1.8,6.1
,"Bernalillo County, NM","35001","Male","M","2018","2018",13,332972,3.9,2.1,6.7
,"Bernalillo County, NM","35001","Male","M","2019","2019",21,332835,6.3,3.9,9.6
,"Bernalillo County, NM","35001","Male","M","2020","2020",23,333988,6.9,4.4,10.3
,"Bernalillo County, NM","35001","Male","M","2021","2021",17,331930,5.1,3.0,8.2
,"Bernalillo County, NM","35001","Male","M","2022","2022",19,331411,5.7,3.5,9.0
,"Bernalillo County, NM","35001","Male","M","2023","2023",20,330097,6.1,3.7,9.4
,"Bernalillo County, NM","35001","Male","M","2024 ","2024",26,330522,7.9,5.1,11.5
,"Bronx County, NY","36005","Female","F","2018","2018",18,757232,2.4,1.4,3.8
,"Bronx County, NY","36005","Female","F","2019","2019",25,748659,3.3,2.2,4.9
,"Bronx County, NY","36005","Female","F","2020","2020",36,740229,4.9,3.4,6.7
,"Bronx County, NY","36005","Female","F","2021","2021",46,749233,6.1,4.5,8.2
,"Bronx County, NY","36005","Female","F","2022","2022",41,727061,5.6,4.0,7.7
,"Bronx County, NY","36005","Female","F","2023","2023",39,715665,5.4,3.9,7.4
,"Bronx County, NY","36005","Female","F","2024 ","2024",28,731296,3.8,2.5,5.5
,"Bronx County, NY","36005","Male","M","2018","2018",40,674900,5.9,4.2,8.1
,"Bronx County, NY","36005","Male","M","2019","2019",44,669548,6.6,4.8,8.8
,"Bronx County, NY","36005","Male","M","2020","2020",68,660913,10.3,8.0,13.0
,"Bronx County, NY","36005","Male","M","2021","2021",88,675715,13.0,10.4,16.0
,"Bronx County, NY","36005","Male","M","2022","2022",79,652885,12.1,9.6,15.1
,"Bronx County, NY","36005","Male","M","2023","2023",85,640811,13.3,10.6,16.4
,"Bronx County, NY","36005","Male","M","2024 ","2024",65,653428,9.9,7.7,12.7
,"Erie County, NY","36029","Female","F","2020","2020",13,473023,2.7,1.5,4.7
,"Erie County, NY","36029","Female","F","2021","2021",14,487022,2.9,1.6,4.8
,"Erie County, NY","36029","Female","F","2023","2023",12,485757,2.5,1.3,4.3
,"Erie County, NY","36029","Male","M","2019","2019",11,444635,2.5,1.2,4.4
,"Erie County, NY","36029","Male","M","2020","2020",15,444218,3.4,1.9,5.6
,"Erie County, NY","36029","Male","M","2021","2021",14,463661,3.0,1.7,5.1
,"Erie County, NY","36029","Male","M","2022","2022",10,463655,2.2,1.0,4.0
,"Erie County, NY","36029","Male","M","2023","2023",10,460390,2.2,1.0,4.0
,"Erie County, NY","36029","Male","M","2024 ","2024",17,463126,3.7,2.1,5.9
,"Kings County, NY","36047","Female","F","2018","2018",16,1359066,1.2,0.7,1.9
,"Kings County, NY","36047","Female","F","2019","2019",12,1347709,0.9,0.5,1.6
,"Kings County, NY","36047","Female","F","2020","2020",23,1336796,1.7,1.1,2.6
,"Kings County, NY","36047","Female","F","2021","2021",17,1383435,1.2,0.7,2.0
,"Kings County, NY","36047","Female","F","2022","2022",33,1354604,2.4,1.7,3.4
,"Kings County, NY","36047","Female","F","2023","2023",23,1342207,1.7,1.1,2.6
,"Kings County, NY","36047","Female","F","2024 ","2024",18,1369677,1.3,0.8,2.1
,"Kings County, NY","36047","Male","M","2018","2018",28,1223764,2.3,1.5,3.3
,"Kings County, NY","36047","Male","M","2019","2019",26,1212194,2.1,1.4,3.1
,"Kings County, NY","36047","Male","M","2020","2020",47,1202138,3.9,2.9,5.2
,"Kings County, NY","36047","Male","M","2021","2021",52,1257617,4.1,3.1,5.4
,"Kings County, NY","36047","Male","M","2022","2022",68,1235912,5.5,4.3,7.0
,"Kings County, NY","36047","Male","M","2023","2023",62,1219018,5.1,3.9,6.5
,"Kings County, NY","36047","Male","M","2024 ","2024",40,1247954,3.2,2.3,4.4
,"Monroe County, NY","36055","Male","M","2020","2020",10,356988,2.8,1.3,5.2
,"Nassau County, NY","36059","Male","M","2019","2019",16,661741,2.4,1.4,3.9
,"Nassau County, NY","36059","Male","M","2021","2021",10,684141,1.5,0.7,2.7
,"Nassau County, NY","36059","Male","M","2022","2022",11,682215,1.6,0.8,2.9
,"Nassau County, NY","36059","Male","M","2024 ","2024",10,685745,1.5,0.7,2.7
,"New York County, NY","36061","Female","F","2018","2018",13,857550,1.5,0.8,2.6
,"New York County, NY","36061","Female","F","2019","2019",13,857228,1.5,0.8,2.6
,"New York County, NY","36061","Female","F","2021","2021",19,826691,2.3,1.4,3.6
,"New York County, NY","36061","Female","F","2022","2022",14,833436,1.7,0.9,2.8
,"New York County, NY","36061","Female","F","2023","2023",17,835883,2.0,1.2,3.3
,"New York County, NY","36061","Female","F","2024 ","2024",13,865466,1.5,0.8,2.6
,"New York County, NY","36061","Male","M","2018","2018",16,771151,2.1,1.2,3.4
,"New York County, NY","36061","Male","M","2019","2019",22,771478,2.9,1.8,4.3
,"New York County, NY","36061","Male","M","2020","2020",38,762760,5.0,3.5,6.8
,"New York County, NY","36061","Male","M","2021","2021",40,750185,5.3,3.8,7.3
,"New York County, NY","36061","Male","M","2022","2022",29,762837,3.8,2.5,5.5
,"New York County, NY","36061","Male","M","2023","2023",42,761568,5.5,4.0,7.5
,"New York County, NY","36061","Male","M","2024 ","2024",22,795198,2.8,1.7,4.2
,"Queens County, NY","36081","Female","F","2020","2020",13,1145299,1.1,0.6,1.9
,"Queens County, NY","36081","Female","F","2021","2021",10,1192013,0.8,0.4,1.5
,"Queens County, NY","36081","Male","M","2018","2018",15,1105389,1.4,0.8,2.2
,"Queens County, NY","36081","Male","M","2020","2020",21,1080522,1.9,1.2,3.0
,"Queens County, NY","36081","Male","M","2021","2021",21,1139130,1.8,1.1,2.8
,"Queens County, NY","36081","Male","M","2022","2022",26,1114389,2.3,1.5,3.4
,"Queens County, NY","36081","Male","M","2023","2023",30,1099704,2.7,1.8,3.9
,"Queens County, NY","36081","Male","M","2024 ","2024",21,1131885,1.9,1.1,2.8
,"Richmond County, NY","36085","Male","M","2021","2021",16,241523,6.6,3.8,10.8
,"Richmond County, NY","36085","Male","M","2023","2023",16,240309,6.7,3.8,10.8
,"Suffolk County, NY","36103","Female","F","2022","2022",14,767889,1.8,1.0,3.1
,"Suffolk County, NY","36103","Male","M","2018","2018",11,729117,1.5,0.8,2.7
,"Suffolk County, NY","36103","Male","M","2019","2019",11,726935,1.5,0.8,2.7
,"Suffolk County, NY","36103","Male","M","2020","2020",13,725576,1.8,1.0,3.1
,"Suffolk County, NY","36103","Male","M","2021","2021",22,756446,2.9,1.8,4.4
,"Suffolk County, NY","36103","Male","M","2022","2022",17,757576,2.2,1.3,3.6
,"Suffolk County, NY","36103","Male","M","2023","2023",12,755614,1.6,0.8,2.8
,"Suffolk County, NY","36103","Male","M","2024 ","2024",17,761854,2.2,1.3,3.6
,"Franklin County, OH","39049","Female","F","2022","2022",11,671231,1.6,0.8,2.9
,"Franklin County, OH","39049","Male","M","2021","2021",11,648605,1.7,0.8,3.0
,"Franklin County, OH","39049","Male","M","2022","2022",11,650589,1.7,0.8,3.0
,"Franklin County, OH","39049","Male","M","2023","2023",12,650855,1.8,1.0,3.2
,"Franklin County, OH","39049","Male","M","2024 ","2024",12,666566,1.8,0.9,3.1
,"Hamilton County, OH","39061","Male","M","2024 ","2024",10,407561,2.5,1.2,4.5
,"Multnomah County, OR","41051","Female","F","2018","2018",13,409698,3.2,1.7,5.4
,"Multnomah County, OR","41051","Female","F","2020","2020",13,412273,3.2,1.7,5.4
