"Notes","County","County Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"San Francisco County, CA","06075","Male","M","2018","2018",43,450363,9.5,6.9,12.9
,"San Francisco County, CA","06075","Male","M","2019","2019",39,449221,8.7,6.2,11.9
,"San Francisco County, CA","06075","Male","M","2020","2020",28,441638,6.3,4.2,9.2
,"San Francisco County, CA","06075","Male","M","2021","2021",23,416907,5.5,3.5,8.3
,"San Francisco County, CA","06075","Male","M","2022","2022",22,415434,5.3,3.3,8.0
,"San Francisco County, CA","06075","Male","M","2023","2023",28,415327,6.7,4.5,9.7
,"San Francisco County, CA","06075","Male","M","2024 ","2024",21,424455,4.9,3.1,7.6
,"San Joaquin County, CA","06077","Male","M","2019","2019",12,380193,3.2,1.6,5.5
,"San Joaquin County, CA","06077","Male","M","2020","2020",25,383049,6.5,4.2,9.6
,"San Joaquin County, CA","06077","Male","M","2021","2021",19,396096,4.8,2.9,7.5
,"San Joaquin County, CA","06077","Male","M","2022","2022",15,397830,3.8,2.1,6.2
,"San Joaquin County, CA","06077","Male","M","2023","2023",21,400848,5.2,3.2,8.0
,"San Luis Obispo County, CA","06079","Female","F","2021","2021",14,139270,10.1,5.5,16.9
,"San Luis Obispo County, CA","06079","Male","M","2020","2020",10,142577,7.0,3.4,12.9
,"San Luis Obispo County, CA","06079","Male","M","2023","2023",10,141957,7.0,3.4,13.0
,"San Mateo County, CA","06081","Female","F","2018","2018",10,389237,2.6,1.2,4.7
,"San Mateo County, CA","06081","Female","F","2019","2019",12,387065,3.1,1.6,5.4
,"San Mateo County, CA","06081","Female","F","2020","2020",10,382461,2.6,1.3,4.8
,"San Mateo County, CA","06081","Male","M","2018","2018",18,380308,4.7,2.8,7.5
,"San Mateo County, CA","06081","Male","M","2019","2019",14,379508,3.7,2.0,6.2
,"San Mateo County, CA","06081","Male","M","2020","2020",10,375847,2.7,1.3,4.9
,"Santa Clara County, CA","06085","Female","F","2018","2018",12,956702,1.3,0.6,2.2
,"Santa Clara County, CA","06085","Female","F","2019","2019",12,951005,1.3,0.7,2.2
,"Santa Clara County, CA","06085","Female","F","2020","2020",14,939349,1.5,0.8,2.5
,"Santa Clara County, CA","06085","Female","F","2022","2022",23,915750,2.5,1.6,3.8
,"Santa Clara County, CA","06085","Female","F","2023","2023",13,921614,1.4,0.8,2.4
,"Santa Clara County, CA","06085","Female","F","2024 ","2024",14,945385,1.5,0.8,2.5
,"Santa Clara County, CA","06085","Male","M","2018","2018",19,980868,1.9,1.2,3.0
,"Santa Clara County, CA","06085","Male","M","2019","2019",14,976847,1.4,0.8,2.4
,"Santa Clara County, CA","06085","Male","M","2020","2020",25,967756,2.6,1.7,3.8
,"Santa Clara County, CA","06085","Male","M","2021","2021",23,960462,2.4,1.5,3.6
,"Santa Clara County, CA","06085","Male","M","2022","2022",24,955195,2.5,1.6,3.7
,"Santa Clara County, CA","06085","Male","M","2023","2023",18,955978,1.9,1.1,3.0
,"Santa Clara County, CA","06085","Male","M","2024 ","2024",12,980940,1.2,0.6,2.1
,"Sonoma County, CA","06097","Female","F","2019","2019",12,253115,4.7,2.4,8.3
,"Sonoma County, CA","06097","Male","M","2019","2019",12,241221,5.0,2.6,8.7
,"Sonoma County, CA","06097","Male","M","2020","2020",17,239269,7.1,4.1,11.4
,"Sonoma County, CA","06097","Male","M","2022","2022",12,237789,5.0,2.6,8.8
,"Sonoma County, CA","06097","Male","M","2023","2023",10,236883,4.2,2.0,7.8
,"Sonoma County, CA","06097","Male","M","2024 ","2024",10,238501,4.2,2.0,7.7
,"Stanislaus County, CA","06099","Female","F","2021","2021",10,276932,3.6,1.7,6.6
,"Stanislaus County, CA","06099","Male","M","2019","2019",11,272956,4.0,2.0,7.2
,"Stanislaus County, CA","06099","Male","M","2020","2020",12,272830,4.4,2.3,7.7
,"Stanislaus County, CA","06099","Male","M","2021","2021",12,276067,4.3,2.2,7.6
,"Stanislaus County, CA","06099","Male","M","2023","2023",12,274874,4.4,2.3,7.6
,"Ventura County, CA","06111","Female","F","2018","2018",18,429648,4.2,2.5,6.6
,"Ventura County, CA","06111","Female","F","2019","2019",11,427294,2.6,1.3,4.6
,"Ventura County, CA","06111","Female","F","2020","2020",13,424927,3.1,1.6,5.2
,"Ventura County, CA","06111","Female","F","2021","2021",19,421720,4.5,2.7,7.0
