"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baltimore city, MD","24510","2018","2018",73,602495,12.1,9.5,15.2
,"Baltimore city, MD","24510","2019","2019",75,593490,12.6,9.9,15.8
,"Baltimore city, MD","24510","2020","2020",111,586131,18.9,15.4,22.5
,"Baltimore city, MD","24510","2021","2021",123,576498,21.3,17.6,25.1
,"Baltimore city, MD","24510","2022","2022",95,569931,16.7,13.5,20.4
,"Baltimore city, MD","24510","2023","2023",82,565239,14.5,11.5,18.0
,"Baltimore city, MD","24510","2024 ","2024",104,568271,18.3,14.8,21.8
,"Bristol County, MA","25005","2018","2018",11,564022,2.0,1.0,3.5
,"Bristol County, MA","25005","2019","2019",11,565217,1.9,1.0,3.5
,"Bristol County, MA","25005","2021","2021",23,580164,4.0,2.5,5.9
,"Bristol County, MA","25005","2022","2022",17,580068,2.9,1.7,4.7
,"Bristol County, MA","25005","2023","2023",26,581841,4.5,2.9,6.5
,"Bristol County, MA","25005","2024 ","2024",20,588593,3.4,2.1,5.2
,"Essex County, MA","25009","2018","2018",11,790638,1.4,0.7,2.5
,"Essex County, MA","25009","2020","2020",21,791263,2.7,1.6,4.1
,"Essex County, MA","25009","2021","2021",18,807074,2.2,1.3,3.5
,"Essex County, MA","25009","2022","2022",10,806765,1.2,0.6,2.3
,"Essex County, MA","25009","2023","2023",16,810089,2.0,1.1,3.2
,"Essex County, MA","25009","2024 ","2024",19,823938,2.3,1.4,3.6
,"Hampden County, MA","25013","2022","2022",15,461041,3.3,1.8,5.4
,"Hampden County, MA","25013","2023","2023",14,460291,3.0,1.7,5.1
,"Hampden County, MA","25013","2024 ","2024",15,464151,3.2,1.8,5.3
,"Middlesex County, MA","25017","2018","2018",13,1614714,0.8,0.4,1.4
,"Middlesex County, MA","25017","2019","2019",10,1611699,0.6,0.3,1.1
,"Middlesex County, MA","25017","2020","2020",14,1609379,0.9,0.5,1.5
,"Middlesex County, MA","25017","2021","2021",24,1614742,1.5,1.0,2.2
,"Middlesex County, MA","25017","2022","2022",28,1617105,1.7,1.2,2.5
,"Middlesex County, MA","25017","2023","2023",19,1623952,1.2,0.7,1.8
,"Middlesex County, MA","25017","2024 ","2024",21,1668956,1.3,0.8,1.9
,"Norfolk County, MA","25021","2023","2023",17,727473,2.3,1.4,3.7
,"Plymouth County, MA","25023","2022","2022",14,533069,2.6,1.4,4.4
,"Plymouth County, MA","25023","2023","2023",12,535308,2.2,1.2,3.9
,"Suffolk County, MA","25025","2018","2018",15,807252,1.9,1.0,3.1
,"Suffolk County, MA","25025","2020","2020",20,801582,2.5,1.5,3.9
,"Suffolk County, MA","25025","2022","2022",22,766381,2.9,1.8,4.3
,"Suffolk County, MA","25025","2023","2023",22,768425,2.9,1.8,4.3
,"Suffolk County, MA","25025","2024 ","2024",21,793144,2.6,1.6,4.0
,"Worcester County, MA","25027","2018","2018",11,830839,1.3,0.7,2.4
,"Worcester County, MA","25027","2020","2020",10,829212,1.2,0.6,2.2
,"Worcester County, MA","25027","2021","2021",11,862029,1.3,0.6,2.3
,"Worcester County, MA","25027","2022","2022",16,862927,1.9,1.1,3.0
,"Worcester County, MA","25027","2023","2023",19,866866,2.2,1.3,3.4
,"Worcester County, MA","25027","2024 ","2024",12,881248,1.4,0.7,2.4
,"Genesee County, MI","26049","2018","2018",11,406892,2.7,1.3,4.8
,"Genesee County, MI","26049","2020","2020",13,404794,3.2,1.7,5.5
,"Genesee County, MI","26049","2024 ","2024",10,402279,2.5,1.2,4.6
,"Ingham County, MI","26065","2019","2019",10,292406,3.4,1.6,6.3
,"Kent County, MI","26081","2018","2018",11,653786,1.7,0.8,3.0
,"Macomb County, MI","26099","2018","2018",13,874759,1.5,0.8,2.5
,"Macomb County, MI","26099","2020","2020",13,870791,1.5,0.8,2.6
,"Macomb County, MI","26099","2021","2021",16,876792,1.8,1.0,3.0
,"Macomb County, MI","26099","2023","2023",10,875101,1.1,0.5,2.1
,"Oakland County, MI","26125","2021","2021",12,1270017,0.9,0.5,1.7
,"Wayne County, MI","26163","2018","2018",33,1753893,1.9,1.3,2.6
,"Wayne County, MI","26163","2019","2019",25,1749343,1.4,0.9,2.1
,"Wayne County, MI","26163","2020","2020",18,1740623,1.0,0.6,1.6
,"Wayne County, MI","26163","2021","2021",30,1774816,1.7,1.1,2.4
,"Wayne County, MI","26163","2022","2022",15,1757043,0.9,0.5,1.4
,"Wayne County, MI","26163","2023","2023",13,1751169,0.7,0.4,1.3
,"Wayne County, MI","26163","2024 ","2024",10,1771063,0.6,0.3,1.0
,"Hennepin County, MN","27053","2018","2018",19,1259428,1.5,0.9,2.4
,"Hennepin County, MN","27053","2019","2019",21,1265843,1.7,1.0,2.5
,"Hennepin County, MN","27053","2020","2020",30,1268408,2.4,1.6,3.4
,"Hennepin County, MN","27053","2021","2021",21,1267416,1.7,1.0,2.5
,"Hennepin County, MN","27053","2022","2022",21,1260121,1.7,1.0,2.5
,"Hennepin County, MN","27053","2023","2023",16,1258713,1.3,0.7,2.1
,"Hennepin County, MN","27053","2024 ","2024",20,1273334,1.6,1.0,2.4
,"Clark County, NV","32003","2018","2018",24,2231647,1.1,0.7,1.6
,"Clark County, NV","32003","2019","2019",20,2266715,0.9,0.5,1.4
,"Clark County, NV","32003","2020","2020",17,2315963,0.7,0.4,1.2
,"Clark County, NV","32003","2021","2021",11,2292476,0.5,0.2,0.9
,"Clark County, NV","32003","2022","2022",14,2322985,0.6,0.3,1.0
,"Clark County, NV","32003","2023","2023",25,2336573,1.1,0.7,1.6
,"Clark County, NV","32003","2024 ","2024",20,2398871,0.8,0.5,1.3
,"Washoe County, NV","32031","2021","2021",10,493392,2.0,1.0,3.7
,"Washoe County, NV","32031","2024 ","2024",10,507280,2.0,0.9,3.6
,"Atlantic County, NJ","34001","2019","2019",10,263670,3.8,1.8,7.0
,"Atlantic County, NJ","34001","2020","2020",14,262945,5.3,2.9,8.9
,"Atlantic County, NJ","34001","2024 ","2024",10,279114,3.6,1.7,6.6
,"Camden County, NJ","34007","2019","2019",10,506471,2.0,0.9,3.6
,"Camden County, NJ","34007","2020","2020",14,506809,2.8,1.5,4.6
,"Camden County, NJ","34007","2021","2021",13,523771,2.5,1.3,4.2
,"Camden County, NJ","34007","2023","2023",10,527196,1.9,0.9,3.5
,"Camden County, NJ","34007","2024 ","2024",11,533988,2.1,1.0,3.7
,"Essex County, NJ","34013","2018","2018",12,799767,1.5,0.8,2.6
,"Essex County, NJ","34013","2019","2019",13,798975,1.6,0.9,2.8
,"Essex County, NJ","34013","2020","2020",13,800501,1.6,0.9,2.8
,"Essex County, NJ","34013","2021","2021",16,854917,1.9,1.1,3.0
,"Essex County, NJ","34013","2022","2022",21,849477,2.5,1.5,3.8
,"Essex County, NJ","34013","2023","2023",15,851117,1.8,1.0,2.9
,"Essex County, NJ","34013","2024 ","2024",13,881527,1.5,0.8,2.5
,"Hudson County, NJ","34017","2023","2023",11,705472,1.6,0.8,2.8
,"Middlesex County, NJ","34023","2018","2018",10,829685,1.2,0.6,2.2
,"Middlesex County, NJ","34023","2021","2021",17,860807,2.0,1.2,3.2
,"Middlesex County, NJ","34023","2022","2022",13,861418,1.5,0.8,2.6
,"Middlesex County, NJ","34023","2023","2023",10,863623,1.2,0.6,2.1
,"Monmouth County, NJ","34025","2018","2018",18,621354,2.9,1.7,4.6
,"Monmouth County, NJ","34025","2019","2019",16,618795,2.6,1.5,4.2
,"Monmouth County, NJ","34025","2020","2020",10,618381,1.6,0.8,3.0
,"Monmouth County, NJ","34025","2021","2021",24,645354,3.7,2.4,5.5
,"Monmouth County, NJ","34025","2024 ","2024",10,647520,1.5,0.7,2.8
,"Ocean County, NJ","34029","2018","2018",18,601651,3.0,1.8,4.7
,"Ocean County, NJ","34029","2020","2020",10,614237,1.6,0.8,3.0
,"Union County, NJ","34039","2020","2020",12,555394,2.2,1.1,3.8
,"Bernalillo County, NM","35001","2018","2018",23,678701,3.4,2.1,5.1
,"Bernalillo County, NM","35001","2019","2019",32,679121,4.7,3.2,6.7
,"Bernalillo County, NM","35001","2020","2020",37,681666,5.4,3.8,7.5
,"Bernalillo County, NM","35001","2021","2021",32,674393,4.7,3.2,6.7
,"Bernalillo County, NM","35001","2022","2022",26,672508,3.9,2.5,5.7
,"Bernalillo County, NM","35001","2023","2023",30,671586,4.5,3.0,6.4
,"Bernalillo County, NM","35001","2024 ","2024",38,671747,5.7,4.0,7.8
,"Santa Fe County, NM","35049","2021","2021",10,155201,6.4,3.1,11.8
,"Bronx County, NY","36005","2018","2018",58,1432132,4.0,3.1,5.2
,"Bronx County, NY","36005","2019","2019",69,1418207,4.9,3.8,6.2
,"Bronx County, NY","36005","2020","2020",104,1401142,7.4,6.0,8.8
,"Bronx County, NY","36005","2021","2021",134,1424948,9.4,7.8,11.0
,"Bronx County, NY","36005","2022","2022",120,1379946,8.7,7.1,10.3
,"Bronx County, NY","36005","2023","2023",124,1356476,9.1,7.5,10.8
,"Bronx County, NY","36005","2024 ","2024",93,1384724,6.7,5.4,8.2
,"Erie County, NY","36029","2019","2019",19,918702,2.1,1.2,3.2
,"Erie County, NY","36029","2020","2020",28,917241,3.1,2.0,4.4
,"Erie County, NY","36029","2021","2021",28,950683,2.9,2.0,4.3
,"Erie County, NY","36029","2022","2022",18,950312,1.9,1.1,3.0
,"Erie County, NY","36029","2023","2023",22,946147,2.3,1.5,3.5
,"Erie County, NY","36029","2024 ","2024",24,950602,2.5,1.6,3.8
,"Kings County, NY","36047","2018","2018",44,2582830,1.7,1.2,2.3
,"Kings County, NY","36047","2019","2019",38,2559903,1.5,1.1,2.0
,"Kings County, NY","36047","2020","2020",70,2538934,2.8,2.1,3.5
,"Kings County, NY","36047","2021","2021",69,2641052,2.6,2.0,3.3
,"Kings County, NY","36047","2022","2022",101,2590516,3.9,3.1,4.7
,"Kings County, NY","36047","2023","2023",85,2561225,3.3,2.7,4.1
