"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Westmoreland County, PA","42129","2020","2020",10,347087,2.9,1.4,5.3
,"Westmoreland County, PA","42129","2022","2022",15,352057,4.3,2.4,7.0
,"Westmoreland County, PA","42129","2023","2023",14,351163,4.0,2.2,6.7
,"York County, PA","42133","2018","2018",22,448273,4.9,3.1,7.4
,"York County, PA","42133","2019","2019",14,449058,3.1,1.7,5.2
,"York County, PA","42133","2020","2020",41,450448,9.1,6.5,12.3
,"York County, PA","42133","2021","2021",44,458696,9.6,7.0,12.9
,"York County, PA","42133","2022","2022",45,461058,9.8,7.1,13.1
,"York County, PA","42133","2023","2023",47,464640,10.1,7.4,13.5
,"York County, PA","42133","2024 ","2024",39,471240,8.3,5.9,11.3
,"Kent County, RI","44003","2018","2018",25,163861,15.3,9.9,22.5
,"Kent County, RI","44003","2019","2019",17,164292,10.3,6.0,16.6
,"Kent County, RI","44003","2020","2020",25,164646,15.2,9.8,22.4
,"Kent County, RI","44003","2021","2021",28,170715,16.4,10.9,23.7
,"Kent County, RI","44003","2022","2022",28,171275,16.3,10.9,23.6
,"Kent County, RI","44003","2023","2023",26,171278,15.2,9.9,22.2
,"Kent County, RI","44003","2024 ","2024",26,172450,15.1,9.8,22.1
,"Newport County, RI","44005","2020","2020",12,81836,14.7,7.6,25.6
,"Providence County, RI","44007","2018","2018",91,636084,14.3,11.5,17.6
,"Providence County, RI","44007","2019","2019",101,638931,15.8,12.7,18.9
,"Providence County, RI","44007","2020","2020",131,636547,20.6,17.1,24.1
,"Providence County, RI","44007","2021","2021",160,658221,24.3,20.5,28.1
,"Providence County, RI","44007","2022","2022",148,657288,22.5,18.9,26.1
,"Providence County, RI","44007","2023","2023",164,660615,24.8,21.0,28.6
,"Providence County, RI","44007","2024 ","2024",126,675912,18.6,15.4,21.9
,"Washington County, RI","44009","2018","2018",12,126179,9.5,4.9,16.6
,"Washington County, RI","44009","2019","2019",13,125577,10.4,5.5,17.7
,"Washington County, RI","44009","2020","2020",15,125746,11.9,6.7,19.7
,"Washington County, RI","44009","2021","2021",16,130592,12.3,7.0,19.9
,"Washington County, RI","44009","2022","2022",15,130330,11.5,6.4,19.0
,"Washington County, RI","44009","2023","2023",14,129982,10.8,5.9,18.1
,"Washington County, RI","44009","2024 ","2024",16,130333,12.3,7.0,19.9
,"Aiken County, SC","45003","2021","2021",10,170776,5.9,2.8,10.8
,"Aiken County, SC","45003","2022","2022",12,174150,6.9,3.6,12.0
,"Aiken County, SC","45003","2023","2023",16,177130,9.0,5.2,14.7
,"Aiken County, SC","45003","2024 ","2024",10,179245,5.6,2.7,10.3
,"Anderson County, SC","45007","2020","2020",11,204353,5.4,2.7,9.6
,"Anderson County, SC","45007","2022","2022",12,209581,5.7,3.0,10.0
,"Anderson County, SC","45007","2023","2023",17,213076,8.0,4.6,12.8
,"Anderson County, SC","45007","2024 ","2024",16,217183,7.4,4.2,12.0
,"Beaufort County, SC","45013","2018","2018",10,188715,5.3,2.5,9.7
,"Beaufort County, SC","45013","2019","2019",10,192122,5.2,2.5,9.6
,"Beaufort County, SC","45013","2020","2020",11,195656,5.6,2.8,10.1
,"Beaufort County, SC","45013","2022","2022",19,196371,9.7,5.8,15.1
,"Beaufort County, SC","45013","2023","2023",19,198979,9.5,5.7,14.9
,"Berkeley County, SC","45015","2018","2018",14,221091,6.3,3.5,10.6
,"Berkeley County, SC","45015","2021","2021",23,236701,9.7,6.2,14.6
,"Berkeley County, SC","45015","2022","2022",25,245117,10.2,6.6,15.1
,"Berkeley County, SC","45015","2023","2023",21,255217,8.2,5.1,12.6
,"Berkeley County, SC","45015","2024 ","2024",17,264276,6.4,3.7,10.3
,"Charleston County, SC","45019","2018","2018",24,405905,5.9,3.8,8.8
,"Charleston County, SC","45019","2019","2019",25,411406,6.1,3.9,9.0
,"Charleston County, SC","45019","2020","2020",43,417981,10.3,7.4,13.9
,"Charleston County, SC","45019","2021","2021",40,413024,9.7,6.9,13.2
,"Charleston County, SC","45019","2022","2022",59,419279,14.1,10.7,18.2
,"Charleston County, SC","45019","2023","2023",73,424367,17.2,13.5,21.6
,"Charleston County, SC","45019","2024 ","2024",62,431001,14.4,11.0,18.4
,"Dorchester County, SC","45035","2018","2018",12,160647,7.5,3.9,13.0
,"Dorchester County, SC","45035","2022","2022",15,166133,9.0,5.1,14.9
,"Dorchester County, SC","45035","2023","2023",15,169833,8.8,4.9,14.6
,"Florence County, SC","45041","2018","2018",13,138159,9.4,5.0,16.1
,"Florence County, SC","45041","2021","2021",13,136504,9.5,5.1,16.3
,"Florence County, SC","45041","2022","2022",25,136721,18.3,11.8,27.0
,"Florence County, SC","45041","2023","2023",16,137214,11.7,6.7,18.9
,"Florence County, SC","45041","2024 ","2024",13,138049,9.4,5.0,16.1
,"Georgetown County, SC","45043","2022","2022",15,64722,23.2,13.0,38.2
,"Georgetown County, SC","45043","2023","2023",14,65731,21.3,11.6,35.7
,"Greenville County, SC","45045","2018","2018",37,514213,7.2,5.1,9.9
,"Greenville County, SC","45045","2019","2019",27,523542,5.2,3.4,7.5
,"Greenville County, SC","45045","2020","2020",39,532486,7.3,5.2,10.0
,"Greenville County, SC","45045","2021","2021",51,533834,9.6,7.1,12.6
,"Greenville County, SC","45045","2022","2022",57,547950,10.4,7.9,13.5
,"Greenville County, SC","45045","2023","2023",65,558036,11.6,9.0,14.8
,"Greenville County, SC","45045","2024 ","2024",44,570745,7.7,5.6,10.3
,"Horry County, SC","45051","2018","2018",39,344147,11.3,8.1,15.5
,"Horry County, SC","45051","2019","2019",34,354081,9.6,6.6,13.4
,"Horry County, SC","45051","2020","2020",68,365449,18.6,14.4,23.6
,"Horry County, SC","45051","2021","2021",74,365579,20.2,15.9,25.4
,"Horry County, SC","45051","2022","2022",68,383101,17.7,13.8,22.5
,"Horry County, SC","45051","2023","2023",66,397478,16.6,12.8,21.1
,"Horry County, SC","45051","2024 ","2024",38,413391,9.2,6.5,12.6
,"Jasper County, SC","45053","2023","2023",13,33544,38.8,20.6,66.3
,"Lancaster County, SC","45057","2020","2020",11,100926,10.9,5.4,19.5
,"Lancaster County, SC","45057","2022","2022",10,104577,9.6,4.6,17.6
,"Lancaster County, SC","45057","2023","2023",18,108215,16.6,9.9,26.3
,"Lexington County, SC","45063","2019","2019",12,298750,4.0,2.1,7.0
,"Lexington County, SC","45063","2020","2020",11,303946,3.6,1.8,6.5
,"Lexington County, SC","45063","2021","2021",13,300137,4.3,2.3,7.4
,"Lexington County, SC","45063","2022","2022",20,304797,6.6,4.0,10.1
,"Lexington County, SC","45063","2023","2023",30,309528,9.7,6.5,13.8
,"Orangeburg County, SC","45075","2021","2021",17,82962,20.5,11.9,32.8
,"Orangeburg County, SC","45075","2022","2022",17,83094,20.5,11.9,32.8
,"Orangeburg County, SC","45075","2023","2023",12,82820,14.5,7.5,25.3
,"Orangeburg County, SC","45075","2024 ","2024",11,83129,13.2,6.6,23.7
,"Richland County, SC","45079","2018","2018",21,414576,5.1,3.1,7.7
,"Richland County, SC","45079","2019","2019",24,415759,5.8,3.7,8.6
